City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Soledad,CO,10.9184,-74.7646,82.96,83,40,11.5,scattered clouds
283,Osijek,HR,45.5511,18.6939,33.71,75,40,16.11,scattered clouds
284,Mwinilunga,ZM,-11.7358,24.4293,61.14,97,100,1.83,overcast clouds
285,Coahuayana,MX,18.7333,-103.6833,71.91,87,31,1.1,scattered clouds
286,Togur,RU,58.3631,82.8265,23.77,89,100,15.93,overcast clouds
287,Fairview,US,40.8126,-73.999,32.49,40,0,8.05,clear sky
288,Sheltozero,RU,61.3667,35.3667,30.54,89,100,11.18,overcast clouds
289,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.38,82,100,13.11,overcast clouds
290,Thunder Bay,CA,48.4001,-89.3168,15.39,98,100,3.11,overcast clouds
291,Pasni,PK,25.2631,63.471,70.77,77,0,4.99,clear sky
292,Thinadhoo,MV,0.5333,72.9333,83.64,71,38,11.43,scattered clouds
293,Fare,PF,-16.7,-151.0167,82.09,74,8,15.43,clear sky
294,Kieta,PG,-6.2167,155.6333,83.1,77,70,4.0,light rain
295,Uvat,RU,59.1433,68.8953,25.36,90,100,13.13,overcast clouds
296,Laramie,US,41.3114,-105.5911,42.17,48,0,25.32,clear sky
297,Laurel,US,39.0993,-76.8483,36.28,50,70,7.09,broken clouds
298,Namatanai,PG,-3.6667,152.4333,84.36,70,90,6.17,light rain
299,Khilok,RU,51.3674,110.4676,22.59,80,83,14.12,broken clouds
300,Rawson,AR,-43.3002,-65.1023,62.2,37,71,9.55,broken clouds
301,Dali,CN,25.7,100.1833,56.07,44,3,5.77,clear sky
302,Omboue,GA,-1.5746,9.2618,77.07,89,100,3.24,moderate rain
303,Campbell River,CA,50.0163,-125.2446,43.83,98,100,4.29,overcast clouds
304,Panjab,AF,34.388,67.0233,10.78,100,100,3.4,overcast clouds
305,Cockburn Town,TC,21.4612,-71.1419,77.38,73,7,12.03,clear sky
306,Awjilah,LY,29.1081,21.2869,61.9,29,29,7.99,scattered clouds
307,Sorkjosen,NO,69.8,20.9333,34.18,71,100,11.01,light snow
308,Alexandria,EG,31.2156,29.9553,55.15,60,14,2.75,few clouds
309,Ngaoundere,CM,7.3167,13.5833,68.4,20,100,4.65,overcast clouds
310,Sanary-Sur-Mer,FR,43.1178,5.8001,49.93,81,3,3.0,clear sky
311,Aykhal,RU,66.0,111.5,-3.32,98,98,2.62,overcast clouds
312,Verkhnyaya Inta,RU,65.9811,60.3094,18.09,90,100,24.9,light snow
313,Nisia Floresta,BR,-6.0911,-35.2086,77.2,81,82,6.62,broken clouds
314,Piedecuesta,CO,6.9879,-73.0495,69.71,90,100,2.08,overcast clouds
315,Tucuman,AR,-26.8241,-65.2226,65.3,97,100,3.06,light rain
316,Tansen,NP,27.8673,83.5467,59.13,39,19,1.66,few clouds
317,Ahuimanu,US,21.4447,-157.8378,74.93,66,90,3.06,overcast clouds
318,Chuy,UY,-33.6971,-53.4616,65.91,80,38,15.46,scattered clouds
319,Vila Do Maio,CV,15.1333,-23.2167,69.62,69,2,23.55,clear sky
320,Karachi,PK,24.9056,67.0822,70.93,70,0,6.82,clear sky
321,Alice Springs,AU,-23.7,133.8833,96.35,43,13,3.44,few clouds
322,Lata,PT,40.1629,-8.3327,48.06,82,99,2.64,overcast clouds
323,Paamiut,GL,61.994,-49.6678,11.1,85,100,6.13,overcast clouds
324,Lakatoro,VU,-16.0999,167.4164,77.94,90,100,9.24,overcast clouds
325,Broken Hill,AU,-31.95,141.4333,82.67,42,5,6.91,clear sky
326,Zhuhai,CN,22.2769,113.5678,69.55,77,100,3.8,overcast clouds
327,Ouegoa,NC,-20.35,164.4333,83.1,82,100,15.61,heavy intensity rain
328,Port Lincoln,AU,-34.7333,135.8667,67.82,76,100,11.36,overcast clouds
329,Quatre Cocos,MU,-20.2078,57.7625,78.1,83,98,6.26,overcast clouds
330,Beringovskiy,RU,63.05,179.3167,24.49,95,100,9.13,overcast clouds
331,Gao,ML,16.6362,1.637,73.78,12,30,6.15,scattered clouds
332,Garissa,KE,-0.4536,39.6401,75.27,79,5,7.23,clear sky
333,Altamira,BR,-3.2033,-52.2064,72.63,96,99,2.33,overcast clouds
334,Nizhniy Kuranakh,RU,58.8353,125.4869,7.32,88,100,4.18,overcast clouds
335,Maragogi,BR,-9.0122,-35.2225,78.96,80,100,7.72,overcast clouds
336,Marawi,PH,7.9986,124.2928,80.92,57,100,6.06,overcast clouds
337,Te Anau,NZ,-45.4167,167.7167,66.78,64,8,6.24,clear sky
338,Surin,TH,14.8818,103.4936,90.91,49,18,6.44,few clouds
339,Arman,RU,59.7,150.1667,6.85,74,100,6.22,overcast clouds
340,Mahebourg,MU,-20.4081,57.7,79.48,83,94,7.23,overcast clouds
341,Bethel,US,41.3712,-73.414,22.82,59,44,2.1,scattered clouds
